Модель,Метод редукции,Лучшие параметры,Accuracy,Precision,Recall,F1,ROC AUC
AdaBoost,NoReduction,"{'learning_rate': 0.01, 'n_estimators': 50}",0.7352941176470589,0.0,0.0,0.0,0.5
AdaBoost,PCA,"{'learning_rate': 0.01, 'n_estimators': 50}",0.7352941176470589,0.0,0.0,0.0,0.5
AdaBoost,UMAP,"{'learning_rate': 0.1, 'n_estimators': 100}",0.7411764705882353,1.0,0.022222222222222223,0.043478260869565216,0.5390222222222223
CatBoost,NoReduction,"{'depth': 6, 'iterations': 500, 'learning_rate': 0.01}",0.7235294117647059,0.4375,0.15555555555555556,0.22950819672131148,0.5836444444444444
CatBoost,PCA,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.01}",0.7352941176470589,0.5,0.06666666666666667,0.11764705882352941,0.5934222222222222
CatBoost,UMAP,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.01}",0.7411764705882353,0.6666666666666666,0.044444444444444446,0.08333333333333333,0.5191111111111111
Decision tree,NoReduction,"{'criterion': 'entropy', 'max_depth': 3}",0.7058823529411765,0.4,0.2222222222222222,0.2857142857142857,0.5168888888888888
Decision tree,PCA,"{'criterion': 'entropy', 'max_depth': 3}",0.7411764705882353,0.5384615384615384,0.15555555555555556,0.2413793103448276,0.6143111111111111
Decision tree,UMAP,"{'criterion': 'entropy', 'max_depth': 3}",0.7352941176470589,0.5,0.044444444444444446,0.08163265306122448,0.4831111111111111
Gradient boosting,NoReduction,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.7352941176470589,0.5,0.06666666666666667,0.11764705882352941,0.5505777777777778
Gradient boosting,PCA,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.9}",0.7470588235294118,1.0,0.044444444444444446,0.0851063829787234,0.6400888888888889
Gradient boosting,UMAP,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.7411764705882353,1.0,0.022222222222222223,0.043478260869565216,0.5062222222222222
Logistic regression,NoReduction,"{'C': 0.1, 'solver': 'lbfgs'}",0.7176470588235294,0.43478260869565216,0.2222222222222222,0.29411764705882354,0.5780444444444445
Logistic regression,PCA,"{'C': 0.1, 'solver': 'lbfgs'}",0.7411764705882353,1.0,0.022222222222222223,0.043478260869565216,0.5585777777777778
Logistic regression,UMAP,"{'C': 1, 'solver': 'liblinear'}",0.7176470588235294,0.36363636363636365,0.08888888888888889,0.14285714285714285,0.5683555555555555
MLP,NoReduction,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.6764705882352942,0.3684210526315789,0.3111111111111111,0.3373493975903614,0.5870222222222221
MLP,PCA,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.6705882352941176,0.3103448275862069,0.2,0.24324324324324326,0.6003555555555555
MLP,UMAP,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.7294117647058823,0.42857142857142855,0.06666666666666667,0.11538461538461539,0.5388444444444445
Random forest,NoReduction,"{'max_depth': 5, 'max_features': None, 'n_estimators': 50}",0.7411764705882353,0.5333333333333333,0.17777777777777778,0.26666666666666666,0.5860444444444444
Random forest,PCA,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",0.7235294117647059,0.375,0.06666666666666667,0.11320754716981132,0.5779555555555556
Random forest,UMAP,"{'max_depth': 5, 'max_features': None, 'n_estimators': 100}",0.6941176470588235,0.29411764705882354,0.1111111111111111,0.16129032258064516,0.4950222222222222
SGD,NoReduction,"{'alpha': 0.01, 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'elasticnet'}",0.6882352941176471,0.34615384615384615,0.2,0.2535211267605634,0.6045333333333334
SGD,PCA,"{'alpha': 0.01, 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1'}",0.7352941176470589,0.0,0.0,0.0,0.5496888888888889
SGD,UMAP,"{'alpha': 0.0001, 'loss': 'log_loss', 'max_iter': 1000, 'penalty': 'l2'}",0.7352941176470589,0.0,0.0,0.0,0.5237333333333334
SVC,NoReduction,"{'C': 1, 'kernel': 'rbf'}",0.7294117647058823,0.4444444444444444,0.08888888888888889,0.14814814814814814,0.5996444444444445
SVC,PCA,"{'C': 1, 'kernel': 'rbf'}",0.7352941176470589,0.5,0.06666666666666667,0.11764705882352941,0.6131555555555555
SVC,UMAP,"{'C': 10, 'kernel': 'rbf'}",0.7176470588235294,0.36363636363636365,0.08888888888888889,0.14285714285714285,0.5297777777777777
XGBoost,NoReduction,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.9}",0.7352941176470589,0.5,0.044444444444444446,0.08163265306122448,0.5790222222222222
XGBoost,PCA,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.9}",0.7294117647058823,0.42857142857142855,0.06666666666666667,0.11538461538461539,0.6293333333333333
XGBoost,UMAP,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.7411764705882353,1.0,0.022222222222222223,0.043478260869565216,0.5055999999999999
